index	status	title	source_url	saved_path	resolved_url	message
1	downloaded	CL API: Real-Time Closed-Loop Interactions with Biological Neural Networks	https://doi.org/10.48550/arXiv.2602.11632	/home/lenovo/Downloads/cortical-labs-research-papers/01 - CL API Real-Time Closed-Loop Interactions with Biological Neural Networks.pdf	https://arxiv.org/abs/2602.11632	672412 bytes from https://arxiv.org/pdf/2602.11632
2	failed	A novel protocol for the efficient generation of all three major hippocampal neuronal sub-populations from human pluripotent stem cells	https://doi.org/10.64898/2026.01.21.700748		https://www.biorxiv.org/lookup/doi/10.64898/2026.01.21.700748	HTTP 404 https://link.springer.com/content/pdf/10.64898/2026.01.21.700748.pdf
3	downloaded	A Quantifiable Information-Processing Hierarchy Provides a Necessary Condition for Detecting Agency	https://doi.org/10.48550/arXiv.2601.03498	/home/lenovo/Downloads/cortical-labs-research-papers/03 - A Quantifiable Information-Processing Hierarchy Provides a Necessary Condition for Detecting Agency.pdf	https://arxiv.org/abs/2601.03498	2151683 bytes from https://arxiv.org/pdf/2601.03498
4	downloaded	A Computational Perspective on NeuroAI and Synthetic Biological Intelligence	https://doi.org/10.48550/arXiv.2509.23896	/home/lenovo/Downloads/cortical-labs-research-papers/04 - A Computational Perspective on NeuroAI and Synthetic Biological Intelligence.pdf	https://arxiv.org/abs/2509.23896	5605159 bytes from https://arxiv.org/pdf/2509.23896
5	failed	Why AI Progress Will Necessitate Harnessing Synthetic Biology to Leverage the Ground Truth of Intelligence	https://link.springer.com/chapter/10.1007/978-3-031-93623-4_12		https://link.springer.com/chapter/10.1007/978-3-031-93623-4_12	not PDF (text/html; charset=utf-8) https://link.springer.com/chapter/10.1007/978-3-031-93623-4_12
6	failed	Two roads diverged: Pathways toward harnessing intelligence in neural cell cultures	https://www.cell.com/cell-biomaterials/fulltext/S3050-5623(25)00147-3		https://www.cell.com/cell-biomaterials/fulltext/S3050-5623(25)00147-3	HTTP 403 https://www.cell.com/cell-biomaterials/pdf/S3050-5623(25)00147-3.pdf
7	failed	Dynamic Network Plasticity and Sample Efficiency in Biological Neural Cultures: A Comparative Study with Deep Reinforcement Learning	https://pmc.ncbi.nlm.nih.gov/articles/PMC12320521/		https://pmc.ncbi.nlm.nih.gov/articles/PMC12320521/	not PDF (text/html; charset=utf-8) https://pmc.ncbi.nlm.nih.gov/articles/instance/12320521/bin/cbsystems.0336.f1.pdf
8	failed	The CL1 as a platform technology to leverage biological neural system functions	https://www.nature.com/articles/s44222-025-00340-3		https://www.nature.com/articles/s44222-025-00340-3	"not PDF (text/html; charset=""UTF-8"") https://www.nature.com/articles/s44222-025-00340-3"
9	failed	In vitro neurons learn and exhibit sentience when embodied in a simulated gameworld	https://doi.org/10.1016/j.neuron.2022.09.001		https://linkinghub.elsevier.com/retrieve/pii/S0896627322008066	HTTP 404 https://link.springer.com/content/pdf/10.1016/j.neuron.2022.09.001.pdf
10	downloaded	Critical dynamics arise during structured information presentation within embodied in vitro neuronal networks	https://doi.org/10.1038/s41467-023-41020-3	/home/lenovo/Downloads/cortical-labs-research-papers/10 - Critical dynamics arise during structured information presentation within embodied in vitro neuronal networks.pdf	https://www.nature.com/articles/s41467-023-41020-3	3007131 bytes from https://link.springer.com/content/pdf/10.1038/s41467-023-41020-3.pdf
