index	status	title	source_url	saved_path	message
7	downloaded	Dynamic Network Plasticity and Sample Efficiency in Biological Neural Cultures: A Comparative Study with Deep Reinforcement Learning	https://pmc.ncbi.nlm.nih.gov/articles/PMC12320521/pdf/cbsystems.0336.pdf	/home/lenovo/Downloads/cortical-labs-research-papers/07 - Dynamic Network Plasticity and Sample Efficiency in Biological Neural Cultures A Comparative Study with Deep Reinforcement Learning.pdf	pow nonce=17279; 10776653 bytes from https://pmc.ncbi.nlm.nih.gov/articles/PMC12320521/pdf/cbsystems.0336.pdf
9	downloaded	In vitro neurons learn and exhibit sentience when embodied in a simulated gameworld	https://researchmgt.monash.edu/ws/files/486666801/414089907_oa.pdf	/home/lenovo/Downloads/cortical-labs-research-papers/09 - In vitro neurons learn and exhibit sentience when embodied in a simulated gameworld.pdf	9367186 bytes from https://researchmgt.monash.edu/ws/files/486666801/414089907_oa.pdf
12	downloaded	Harnessing Intelligence from Brain Cells In Vitro	https://pmc.ncbi.nlm.nih.gov/articles/PMC12426333/pdf/10.1177_10738584251321438.PMC12426333.pdf	/home/lenovo/Downloads/cortical-labs-research-papers/12 - Harnessing Intelligence from Brain Cells In Vitro.pdf	pow nonce=73555; 4535403 bytes from https://pmc.ncbi.nlm.nih.gov/articles/PMC12426333/pdf/10.1177_10738584251321438.pdf
14	failed	The technology, opportunities, and challenges of Synthetic Biological Intelligence	https://pmc.ncbi.nlm.nih.gov/articles/PMC7615149/pdf/main.pdf		not PDF and no POW challenge: 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC7615149/pdf/main.pdf
16	failed	Toward a nomenclature consensus for diverse intelligent systems: Call for collaboration	https://pmc.ncbi.nlm.nih.gov/articles/PMC11278797/pdf/main.pdf		not PDF and no POW challenge: 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC11278797/pdf/main.pdf
17	failed	Starting a synthetic biological intelligence lab from scratch	https://pmc.ncbi.nlm.nih.gov/articles/PMC12142634/pdf/main.pdf		not PDF and no POW challenge: 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC12142634/pdf/main.pdf
18	failed	Embodied Neural Systems Can Enable Iterative Investigations of Morally Relevant States	https://pmc.ncbi.nlm.nih.gov/articles/PMC11007307/pdf/jneuro-44-e0431242024.pdf		not PDF and no POW challenge: 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC11007307/pdf/jneuro-44-e0431242024.pdf
19	failed	Human Neural Organoid Microphysiological Systems Show the Building Blocks Necessary for Basic Learning and Memory	https://pmc.ncbi.nlm.nih.gov/articles/PMC11429697/pdf/nihpp-2024.09.17.613333v1.pdf		not PDF and no POW challenge: 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC11429697/pdf/nihpp-2024.09.17.613333v1.pdf
21	failed	Active Inference and Intentional Behavior	https://direct.mit.edu/neco/article-pdf/doi/10.1162/neco_a_01738/2506531/neco_a_01738.pdf		not PDF: 403 text/html; charset=UTF-8 https://direct.mit.edu/neco/article-pdf/doi/10.1162/neco_a_01738/2506531/neco_a_01738.pdf b'<!DOCTYPE html><html'
20	failed	Neurons Embodied in a Virtual World: Evidence for Organoid Ethics?	https://figshare.com/articles/journal_contribution/Neurons_embodied_in_a_virtual_world_evidence_for_organoid_ethics_/23021069		Expecting value: line 1 column 1 (char 0)
