domain	tier	tier_name	control_axis	physical_path	rationale	review_status
academic-advising-degree-progress-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/academic-advising-degree-progress-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
access-functional-needs-emergency-registry-continuity	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/access-functional-needs-emergency-registry-continuity	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
access-to-justice-legal-aid	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/access-to-justice-legal-aid	主要提供主体展开未来所需的基础环境、资源、治理或基础设施。	heuristic-v0.1
acromegaly-growth-hormone-cardiometabolic-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/acromegaly-growth-hormone-cardiometabolic-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
acute-coronary-syndrome-reperfusion-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/acute-coronary-syndrome-reperfusion-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
acute-gastrointestinal-bleeding-endoscopy-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/acute-gastrointestinal-bleeding-endoscopy-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
acute-heart-failure-decompensation-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/acute-heart-failure-decompensation-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
acute-kidney-injury-renal-replacement-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/acute-kidney-injury-renal-replacement-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
address-residency-mail-service-continuity	C6	局部可能性解锁层	局部阻塞解除	domains/c6-local-unlocking/address-residency-mail-service-continuity	未命中更高层边界、载体、能力、转换或生态规则，暂归为具体场景的局部可能性解锁。	heuristic-v0.1
adhd-executive-function-neurodevelopment-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/adhd-executive-function-neurodevelopment-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
administrative-burden-procedural-friction	C4	可能性转换通道层	路径转换接口	domains/c4-conversion-channel/administrative-burden-procedural-friction	关键词显示该域主要处理研究、数据、模型、服务入口、身份记录、转化或治理接口。	heuristic-v0.1
adrenal-insufficiency-cortisol-stress-response-continuity	C2	可能性源体维护层	生命载体维护	domains/c2-source-maintenance/adrenal-insufficiency-cortisol-stress-response-continuity	关键词显示该域主要维护身体、脑、器官、细胞、急性生命风险或衰老损伤控制。	heuristic-v0.1
adult-day-services-supervision-transport-continuity	C5	可能性生态承载层	外部生态承载	domains/c5-ecological-substrate/adult-day-services-supervision-transport-continuity	关键词显示该域主要承载能源、水、食物、住房、治理、经济、通信、灾害或基础设施环境。	heuristic-v0.1
