index	title	source_url	resolved_url	last_error
2	A novel protocol for the efficient generation of all three major hippocampal neuronal sub-populations from human pluripotent stem cells	https://doi.org/10.64898/2026.01.21.700748	https://www.biorxiv.org/lookup/doi/10.64898/2026.01.21.700748	HTTP 404 https://link.springer.com/content/pdf/10.64898/2026.01.21.700748.pdf
5	Why AI Progress Will Necessitate Harnessing Synthetic Biology to Leverage the Ground Truth of Intelligence	https://link.springer.com/chapter/10.1007/978-3-031-93623-4_12	https://link.springer.com/chapter/10.1007/978-3-031-93623-4_12	not PDF (text/html; charset=utf-8) https://link.springer.com/chapter/10.1007/978-3-031-93623-4_12
6	Two roads diverged: Pathways toward harnessing intelligence in neural cell cultures	https://www.cell.com/cell-biomaterials/fulltext/S3050-5623(25)00147-3	https://www.cell.com/cell-biomaterials/fulltext/S3050-5623(25)00147-3	HTTP 403 https://www.cell.com/cell-biomaterials/pdf/S3050-5623(25)00147-3.pdf
7	Dynamic Network Plasticity and Sample Efficiency in Biological Neural Cultures: A Comparative Study with Deep Reinforcement Learning	https://pmc.ncbi.nlm.nih.gov/articles/PMC12320521/	https://pmc.ncbi.nlm.nih.gov/articles/PMC12320521/	not PDF (text/html; charset=utf-8) https://pmc.ncbi.nlm.nih.gov/articles/instance/12320521/bin/cbsystems.0336.f1.pdf
8	The CL1 as a platform technology to leverage biological neural system functions	https://www.nature.com/articles/s44222-025-00340-3	https://www.nature.com/articles/s44222-025-00340-3	"not PDF (text/html; charset=""UTF-8"") https://www.nature.com/articles/s44222-025-00340-3"
9	In vitro neurons learn and exhibit sentience when embodied in a simulated gameworld	https://doi.org/10.1016/j.neuron.2022.09.001	https://linkinghub.elsevier.com/retrieve/pii/S0896627322008066	HTTP 404 https://link.springer.com/content/pdf/10.1016/j.neuron.2022.09.001.pdf
12	Harnessing Intelligence from Brain Cells In Vitro	https://doi.org/10.1177/10738584251321438	https://journals.sagepub.com/doi/10.1177/10738584251321438	HTTP 404 https://link.springer.com/content/pdf/10.1177/10738584251321438.pdf
14	The technology, opportunities, and challenges of Synthetic Biological Intelligence	https://doi.org/10.1016/j.biotechadv.2023.108233	https://linkinghub.elsevier.com/retrieve/pii/S0734975023001404	HTTP 404 https://link.springer.com/content/pdf/10.1016/j.biotechadv.2023.108233.pdf
16	Toward a nomenclature consensus for diverse intelligent systems: Call for collaboration	https://doi.org/10.1016/j.xinn.2024.100658	https://linkinghub.elsevier.com/retrieve/pii/S2666675824000961	HTTP 404 https://link.springer.com/content/pdf/10.1016/j.xinn.2024.100658.pdf
17	Starting a synthetic biological intelligence lab from scratch	https://doi.org/10.1016/j.patter.2025.101232	https://linkinghub.elsevier.com/retrieve/pii/S2666389925000807	HTTP 404 https://link.springer.com/content/pdf/10.1016/j.patter.2025.101232.pdf
18	Embodied Neural Systems Can Enable Iterative Investigations of Morally Relevant States	https://doi.org/10.1523/JNEUROSCI.0431-24.2024	https://www.jneurosci.org/lookup/doi/10.1523/JNEUROSCI.0431-24.2024	HTTP 404 https://link.springer.com/content/pdf/10.1523/JNEUROSCI.0431-24.2024.pdf
19	Human Neural Organoid Microphysiological Systems Show the Building Blocks Necessary for Basic Learning and Memory	https://doi.org/10.1101/2024.09.17.613333	https://www.biorxiv.org/lookup/doi/10.1101/2024.09.17.613333	HTTP 404 https://link.springer.com/content/pdf/10.1101/2024.09.17.613333.pdf
20	Neurons Embodied in a Virtual World: Evidence for Organoid Ethics?	https://doi.org/10.1080/21507740.2022.2048731	https://www.tandfonline.com/doi/full/10.1080/21507740.2022.2048731	HTTP 404 https://link.springer.com/content/pdf/10.1080/21507740.2022.2048731.pdf
21	Active Inference and Intentional Behavior	https://doi.org/10.1162/neco_a_01738	https://direct.mit.edu/neco/article/37/4/666/128203/Active-Inference-and-Intentional-Behavior	HTTP 403 https://direct.mit.edu/neco/article-pdf/doi/10.1162/neco_a_01738
