index	status	title	page_link	local_file_or_reason	bytes
1	downloaded	CL API: Real-Time Closed-Loop Interactions with Biological Neural Networks	https://doi.org/10.48550/arXiv.2602.11632	/home/lenovo/Downloads/cortical-labs-research-papers/01 - CL API Real-Time Closed-Loop Interactions with Biological Neural Networks.pdf	672412
2	downloaded	A novel protocol for the efficient generation of all three major hippocampal neuronal sub-populations from human pluripotent stem cells	https://doi.org/10.64898/2026.01.21.700748	/home/lenovo/Downloads/cortical-labs-research-papers/02 - A novel protocol for the efficient generation of all three major hippocampal neuronal sub-populations from human pluripotent stem cells.pdf	12758646
3	downloaded	A Quantifiable Information-Processing Hierarchy Provides a Necessary Condition for Detecting Agency	https://doi.org/10.48550/arXiv.2601.03498	/home/lenovo/Downloads/cortical-labs-research-papers/03 - A Quantifiable Information-Processing Hierarchy Provides a Necessary Condition for Detecting Agency.pdf	2151683
4	downloaded	A Computational Perspective on NeuroAI and Synthetic Biological Intelligence	https://doi.org/10.48550/arXiv.2509.23896	/home/lenovo/Downloads/cortical-labs-research-papers/04 - A Computational Perspective on NeuroAI and Synthetic Biological Intelligence.pdf	5605159
5	not_downloaded	Why AI Progress Will Necessitate Harnessing Synthetic Biology to Leverage the Ground Truth of Intelligence	https://link.springer.com/chapter/10.1007/978-3-031-93623-4_12	Springer chapter / OpenAlex closed access; official PDF endpoint returned HTML, not PDF.
6	downloaded	Two roads diverged: Pathways toward harnessing intelligence in neural cell cultures	https://www.cell.com/cell-biomaterials/fulltext/S3050-5623(25)00147-3	/home/lenovo/Downloads/cortical-labs-research-papers/06 - Two roads diverged Pathways toward harnessing intelligence in neural cell cultures.pdf	5792423
7	downloaded	Dynamic Network Plasticity and Sample Efficiency in Biological Neural Cultures: A Comparative Study with Deep Reinforcement Learning	https://pmc.ncbi.nlm.nih.gov/articles/PMC12320521/	/home/lenovo/Downloads/cortical-labs-research-papers/07 - Dynamic Network Plasticity and Sample Efficiency in Biological Neural Cultures A Comparative Study with Deep Reinforcement Learning.pdf	10776653
8	not_downloaded	The CL1 as a platform technology to leverage biological neural system functions	https://www.nature.com/articles/s44222-025-00340-3	Nature Reviews Bioengineering / OpenAlex closed access; official PDF endpoint returned HTML, not PDF.
9	downloaded	In vitro neurons learn and exhibit sentience when embodied in a simulated gameworld	https://doi.org/10.1016/j.neuron.2022.09.001	/home/lenovo/Downloads/cortical-labs-research-papers/09 - In vitro neurons learn and exhibit sentience when embodied in a simulated gameworld.pdf	9367186
10	downloaded	Critical dynamics arise during structured information presentation within embodied in vitro neuronal networks	https://doi.org/10.1038/s41467-023-41020-3	/home/lenovo/Downloads/cortical-labs-research-papers/10 - Critical dynamics arise during structured information presentation within embodied in vitro neuronal networks.pdf	3007131
